id,prompt,correct_answer,sources,baseline_answer,tuned_answer,rag_answer,rag_bertscore
CORP-TAX-011,Sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig?,Nein. Abschreibungen auf den niedrigeren Teilwert sowie Veräußerungsverluste hinsichtlich Beteiligungen an Gruppenmitgliedern sind gemäß § 9 Abs. 7 KStG nicht abzugsfähig.,§ 9 Abs. 7 KStG 1988,"Nein, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig.",Nein. Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig.,ähnlichen Aktivität (§ 8 Abs. 4 Z 1) werden nicht als Änderung der Voraussetzungen für Gruppenverhältnisse angesehen.,0.8335795402526855
CORP-TAX-012,"Wie wird eine Dividende einer ausländischen EU-Tochtergesellschaft steuerlich behandelt, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird?","Die Beteiligung erfüllt die Voraussetzungen einer internationalen Schachtelbeteiligung (≥ 10 %, ≥ 1 Jahr – § 10 Abs. 2 KStG). Die Dividende ist nach § 10 Abs. 1 Z 7 KStG steuerfrei. Alternativ käme § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) in Betracht. Nicht befreit wäre sie, wenn sie bei der Tochter abzugsfähig ist (§ 10 Abs. 4 KStG).",§ 10 Abs. 1 Z 5 und Z 7; Abs. 2 und 4 KStG 1988,"Eine Dividende einer ausländischen EU-Tochtergesellschaft wird in Österreich nach dem Körperschaftsteuerabkommen mit der EU-Staaten steuerlich behandelt. 

Da die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird, ist die Beteiligung nicht mehr als 10 % der Stimmrechts- und Stimmrechtsanteile, sodass die Dividende nach dem Körperschaftsteuerabkommen mit der EU-Staaten steuerlich nicht in Österreich versteuert wird.","Die Dividende der ausländischen EU-Tochtergesellschaft wird gemäß § 27 Abs. 1 Z 1 EStG 1988 steuerlich ausgeschlossen, da sie nicht aus einer Beteiligung an einer Tochtergesellschaft im Sinne von § 27 Abs. 1 Z 2 EStG 1988 besteht. Die Bete","esetz 1988 festgelegten Voraussetzungen erfüllen, 3. an ausländischen Körperschaften, die die in der Anlage 2 zum Einkommensteuergesetz 1988 festgelegten Voraussetzungen erfüllen und die im Einkommensteuergesetz 1988 festgelegten Voraussetzungen erfüllen, 4. an ausländischen Körperschaften, die die in der Anlage 2 zum Einkommen",0.7957609295845032
CORP-TAX-013,Warum können § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) gleichzeitig auf denselben Konzern anwendbar sein?,"§ 10 KStG befreit eingehende Beteiligungserträge. § 12 Abs. 1 Z 10 KStG verhindert, dass ausgehende Zahlungen an niedrigbesteuerte Konzerngesellschaften abgezogen werden. Beide können denselben Konzern treffen: Die Mutter empfängt steuerfreie Dividenden (§ 10) und leistet Zahlungen an eine Schwester im Niedrigsteuerland (§ 12 Abs. 1 Z 10).",§ 10 Abs. 1 KStG 1988; § 12 Abs. 1 Z 10 KStG 1988,"Das Abzugsverbot für Lizenzgebühren (§ 12 Abs. 1 Z 10 KStG) ist auf Konzerne nicht anwendbar, da diese nach § 1 Abs. 1 KStG von der Körperschaftsteuer befreit sind. Die Beteiligungsbefreiung (§ 10 KStG) ist jedoch auf Konzerne anwendbar, da diese nicht als ""Personen"" im Sinne des § 10 KStG gelten.","Zur Befreiung von Beteiligungsbefreiungskosten (§ 10 KStG) und Abzugsverbot für Lizenzgebühren (§ 12 Abs. 1 Z 10 KStG) zählen die Beteiligungsbefreiungskosten und die Lizenzgebühren, die der Konzern im Rahmen","staat oder in einem anderen Staat ansässig ist, eine in einem anderen Vertragsstaat ansässige Nutzungsberechtigte ist, ist die Lizenzgebühren nicht anzuwenden.",0.7919800877571106
CORP-TAX-014,Welche Voraussetzungen müssen für eine internationale Schachtelbeteiligung erfüllt sein?,"Der Steuerpflichtige muss unter § 7 Abs. 3 KStG fallen oder eine sonstige unbeschränkt steuerpflichtige ausländische Körperschaft sein, die mit einem inländischen unter §7 Abs. 3KStG fallenden Steuerpflichtigen vergleichbar sein und mindestens 1 Jahr ununterbrochen zu mindestens 10 % an einer ausländischen Kapitalgesellschaft beteiligt sein (§ 10 Abs. 2 KStG).",§ 10 Abs. 2 KStG 1988,"Für eine internationale Schachtelbeteiligung müssen folgende Voraussetzungen erfüllt sein:

1.  Die Beteiligung muss mindestens 10% der Stimmrechtskapital betragen.
2.  Die Beteiligung muss mindestens 5 Jahre bestehen.
3.  Die Beteiligung muss nicht nur eine Geschäftsbeziehung, sondern auch eine wirtschaftliche Verbindung zwischen den Beteiligten darstellen.
4.  Die Beteiligung muss nicht nur eine Geschäftsbeziehung, sondern auch eine wirtschaftliche Verbindung zwischen den Beteiligten darstellen.

Es ist wichtig zu beachten, dass diese Vora","Die Voraussetzung ist, dass die Beteiligung für die Beteiligungsunternehmen aus einem anderen Einkommensstrands stammt.","ommen haben und die Verarbeitung personenbezogener Daten nicht gegen die Verordnung über die allgemeine Datenschutzverwaltung (DSGVO) (BGB III, § 1) verstoßen.",0.789168119430542
CORP-TAX-015,Wie werden Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt?,"Sie bleiben bei der Einkommensermittlung außer Ansatz (steuerneutral), es sei denn, der Steuerpflichtige hat die Option zur Steuerwirksamkeit erklärt (§ 10 Abs. 3 KStG).",§ 10 Abs. 3 KStG 1988,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden grundsätzlich nach § 32 EStG behandelt. Das bedeutet, dass die Beteiligung als Betriebsvermögen behandelt wird, wenn sie nicht mehr als 10% der Beteiligung an einem Unternehmen in einem anderen Staat oder an einem Unternehmen mit Sitz in einem anderen Staat oder in einem anderen Staat ansässigen Unternehmen, das nicht mehr als 10% der Beteiligung an einem anderen Unternehmen in einem anderen Staat oder an einem Unternehmen mit Sitz in einem anderen Staat oder in einem anderen Staat ansässigen Unternehmen, hält.

Wenn die B",Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden gemäß § 27 Abs. 1 Z 1 EStG 1988 als Einkünfte aus Kapitalvermögen behandelt.,ilig) erworbenen Aktien. 2. Die Hinzurechnung erfolgt nach der Höhe der von der jeweiligen beherrschenden Körperschaft unmittelbar und mittelbar (anteilig) erworbenen Aktien. 3. Die Hinzurechnung erfolgt nach der Höhe der von der jeweiligen beherrschenden Körperschaft unmittelbar und mittelbar (anteilig) erworbenen Aktien. 4. Die Hinzurechnung erfolgt nach der Höhe der von,0.7791137099266052
CORP-TAX-016,Sind Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe abzugsfähig?,"Grundsätzlich ja (§ 11 Abs. 1 Z 4 KStG) wenn die Beteiligung im Betriebsvermögen gehalten wird – auch wenn die Erträge nach § 10 KStG steuerfrei sind. Ausnahme: Wurde die Beteiligung von einem konzernzugehörigen Unternehmen erworben, greift das Abzugsverbot des § 12 Abs. 1 Z 9 KStG und die Fremdfinanzierungszinsen dürfen nicht als Betriebsausgabe abgezogen werden.",§ 11 Abs. 1 Z 4 KStG 1988; § 12 Abs. 1 Z 9 KStG 1988,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgaben abzugsfähig.","Nein. Die Zinsen, die für die Beteiligung aus dem Erwerb einer steuerbefreiten Beteiligung entstehen, sind nicht abzugsfähig.","unmittelbar oder mittelbar in einem anderen Verwaltungsbezirk des Landes. c)Die empfangende Körperschaft ist in einem anderen Verwaltungsbezirk des Landes als die Körperschaft, an der die Beteiligung besteht, tätig.",0.8083489537239075
CORP-TAX-017,Was ist der Unterschied zwischen § 11 KStG und § 12 KStG in Bezug auf den Betriebsausgabenabzug?,"§ 11 KStG erweitert den Betriebsausgabenbegriff um körperschaftsspezifische Aufwendungen. § 12 KStG schränkt ihn ein und nennt Aufwendungen, die trotz betrieblicher Veranlassung nicht abzugsfähig sind.",§ 11 KStG 1988; § 12 KStG 1988,"Ich bin nicht sicher, welche genauen Regelungen in den § 11 und § 12 KStG enthalten sind. Wenn du mehr über Betriebsausgabenabzug wissen möchtest, kann ich dir allgemein sagen, dass der Betriebsausgabenabzug nach § 4 Abs. 3 EStG (nicht KStG) erfolgt.","Der Unterschied liegt darin, ob der Abzug auf Einkünfte aus Gewerbebetrieb oder auf Einkünfte aus selbständiger Arbeit ausgerichtet ist. Für Einkünfte aus Gewerbebetrieb gilt § 11 KStG, für Einkünfte aus selbständiger Arbeit gilt § 12 KStG.","recht konsolidiert, Fassung vom 06.04.2026 Page 83 of 140https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10003940&ShowPrintPreview=True § 206. § 207. 2 im Zusammenhang mit 4/6/26, 7:36 PMRIS - Bundesabgabenordnung - Bundesrecht konsolidiert, Fassung vom 06.04.2026 Page 84",0.7756326794624329
CORP-TAX-018,Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig?,"Nein, grundsätzlich nicht (§ 12 Abs. 1 Z 5 KStG). Eine Ausnahme stellen Spenden an begünstigte Empfänger nach § 4a EStG oder Ausgaben nach § 8 Abs. 4 Z 1 KStG dar.",§ 12 Abs. 1 Z 5 KStG 1988,"Ja, freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich abzugsfähig.",Ja. Freiwillige Spenden an gemeinnützige Organisationen sind grundsätzlich abzugsfähig.,Abs. 1 Satz 1 wird durch § 40a Abs. 2 des EStG 1988 abgeschafft.,0.8249973654747009
CORP-TAX-019,"Welche Aufwendungen sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig: (a) EU-Geldbuße, (b) Spende an begünstigten Empfänger, (c) Aufsichtsratsvergütung, (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung?","(a) Nicht abzugsfähig (§ 12 Abs. 1 Z 4 KStG). (b) Abzugsfähig nach § 4a EStG – Ausnahme in § 12 Abs. 1 Z 5 KStG greift. (c) Nur zur Hälfte abzugsfähig (§ 12 Abs. 1 Z 7 KStG). (d) Nicht abzugsfähig, da konzernzugehöriger Empfänger und Steuerbelastung < 15 % (§ 12 Abs. 1 Z 10 KStG).","§ 12 Abs. 1 Z 4, Z 5, Z 7 und Z 10 KStG 1988","(a) EU-Geldbuße: Nicht abzugsfähig, da sie keine Geschäftsgrundlage darstellt.

(b) Spende an begünstigten Empfänger: Teilweise abzugsfähig, wenn die Spende nicht über 50% des Umsatzes oder Einkommens der GmbH hinausgeht.

(c) Aufsichtsratsvergütung: Nicht abzugsfähig, da sie als Einkommen des Aufsichtsratsmitglieds zu versteuern ist.

(d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung: Teilweise abzugs","Die Aufwendungen (a) und (b) sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig. Die EU-Geldbuße ist steuerlich nicht abzugsfähig, da sie nicht als Einkünfte aus einer Geschäftsbeziehung angesehen werden. Die Spende an begünstigten Empfänger ist ebenfalls","genswerte zu besteuern, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen. b) Die Einkünfte aus dem Verkauf von Vermögenswerten, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen, werden nicht unter Buchstabe b fallen. c) Die Einkünfte aus dem Verkauf von Vermögenswerten, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen, werden nicht unter Buchstabe b fallen. d)",0.7685790061950684
CORP-TAX-020,Wann sind Lizenzgebühren an eine konzernzugehörige Gesellschaft nicht abzugsfähig?,Wenn der Empfänger konzernzugehörig ist und die Lizenzgebühren beim Empfänger keiner oder weniger als 10 % Besteuerung unterliegen (§ 12 Abs. 1 Z 10 KStG).,§ 12 Abs. 1 Z 10 KStG 1988,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht aufgrund eines Rechtsverhältnisses, sondern aufgrund eines Verhältnisses als Mutter- und Tochtergesellschaften erworben werden.","Lizenzgebühren sind nicht abzugsfähig, wenn sie als weder wirtschaftliche noch als weder steuerpflichtige Entgelt ausgedrückt werden.",als 50 % der Gesamtzahl der von der Körperschaft erwirtschafteten Gewinne oder Gewinne aus der Veräußerung von Vermögen bezieht.,0.8064241409301758
CORP-TAX-021,Nach welcher Methode ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln?,Nach § 5 Abs. 1 EStG 1988 (Betriebsvermögensvergleich). § 6 Z 2 lit. c und d EStG ist dabei nicht anzuwenden (§ 7 Abs. 3 KStG).,§ 7 Abs. 3 KStG 1988,Der Gewinn ist bei rechnungslegungspflichtigen Körperschaften nach der Einnahmen-Ausgaben-Rechnung (EÜR) zu ermitteln.,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist gemäß § 25 Abs. 1 Z 1 EStG 1988 zu ermitteln, indem der Gewinn aus der Ermittlung der Gewinnanteilserträge nach § 25 Abs. 1 Z 2 EStG 1988 berechnet","seinen Namen und seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten und gegebenenfalls jene Stelle mitzuteilen, auf die die Übertragung erfolgt, darf der Steuerpflichtige die depotführende Stelle beauftragt, dem zuständigen Finanzamt innerhalb eines Monats seinen Namen und seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten",0.764233410358429
CORP-TAX-022,"Welche Aspekte der §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte?","§ 7 Abs. 3 KStG: Einkommensermittlung beider Körperschaften als Gewerbebetrieb (Gewerblichkeitsfiktion). § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (mittelbare oder unmittelbare Beteiligung > 50 %; unbeschränkt steuerpflichtige Kapitalgesellschaften oder vergleichbare nicht unbeschränkt steuerpflichtige Kapitalgesellschaften, die in einem Mitgliedstaat der Europäischen Union ode in einem Staat, mit dem umfassende Amtshilfe besteht, ansässig sind und ausschließlich mit unbeschränkt steuerpflichtigen Gruppenmitgliedern oder mit dem Gruppenträger finanziell verbunden sind; die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds vorliegen). § 9 Abs. 6 Z 4 KStG: Vorgruppenverluste nur gegen eigenen Gewinn. § 11 Abs. 1 Z 4 KStG: Zinsen abzugsfähig (konzernfremder Verkäufer → kein § 12 Abs. 1 Z 9). § 9 Abs. 7 KStG: Nach Beitritt keine Teilwertabschreibungen mehr.","§ 7 Abs. 3; § 9 Abs. 2–5, Abs. 6 Z 4, Abs. 7; § 11 Abs. 1 Z 4; § 12 Abs. 1 Z 9 KStG 1988","Wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte, sind folgende Aspekte der §§ 7–12 KStG zu prüfen:

1. **Konzernfremdheit**: Da die Übernahme von 60 % durch einen konzernfremden Dritten erfolgt, ist die Frage zu klären, ob die GmbH und die andere GmbH in einem Konzernverbund stehen. Wenn nicht, kann eine Gruppenbildung möglich sein.
2. **Gruppenbildung**: Die Gruppenbildung ist nur möglich, wenn die GmbH und die andere GmbH in einem Konzernverbund stehen. Wenn nicht, kann eine","Die relevante Gesetzesgrundlage ist § 7 Abs. 1 Z 1 EStG 1988. Die GmbH muss nachweisen, dass die Gruppe 60 % der Gesamtanteil an der ursprünglichen GmbH erhält.","eteiligungsgesellschaften, Gesellschaft mit beschränkter Trägerschaft, Gesellschaft mit offener Trägerschaft, Gesellschaft mit beschränkter Trägerschaft und Gesellschaft mit offener Trägerschaft) bezeichnet werden, sind die Fünfzehntelbeträge abgesetzt.",0.7953530550003052
