id,prompt,baseline_answer,correct_answer,sources
CORP-TAX-011,Sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig?,"Nein, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig.",Nein. Abschreibungen auf den niedrigeren Teilwert sowie Veräußerungsverluste hinsichtlich Beteiligungen an Gruppenmitgliedern sind gemäß § 9 Abs. 7 KStG nicht abzugsfähig.,§ 9 Abs. 7 KStG 1988
CORP-TAX-012,"Wie wird eine Dividende einer ausländischen EU-Tochtergesellschaft steuerlich behandelt, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird?","Eine Dividende einer ausländischen EU-Tochtergesellschaft wird in Österreich nach dem Körperschaftsteuerabkommen mit der EU-Staaten steuerlich behandelt. 

Da die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird, ist die Beteiligung nicht mehr als 10 % der Stimmrechts- und Stimmrechtsanteile, sodass die Dividende nach dem Körperschaftsteuerabkommen mit der EU-Staaten steuerlich nicht in Österreich versteuert wird.","Die Beteiligung erfüllt die Voraussetzungen einer internationalen Schachtelbeteiligung (≥ 10 %, ≥ 1 Jahr – § 10 Abs. 2 KStG). Die Dividende ist nach § 10 Abs. 1 Z 7 KStG steuerfrei. Alternativ käme § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) in Betracht. Nicht befreit wäre sie, wenn sie bei der Tochter abzugsfähig ist (§ 10 Abs. 4 KStG).",§ 10 Abs. 1 Z 5 und Z 7; Abs. 2 und 4 KStG 1988
CORP-TAX-013,Warum können § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) gleichzeitig auf denselben Konzern anwendbar sein?,"Das Abzugsverbot für Lizenzgebühren (§ 12 Abs. 1 Z 10 KStG) ist auf Konzerne nicht anwendbar, da diese nach § 1 Abs. 1 KStG von der Körperschaftsteuer befreit sind. Die Beteiligungsbefreiung (§ 10 KStG) ist jedoch auf Konzerne anwendbar, da diese nicht als ""Personen"" im Sinne des § 10 KStG gelten.","§ 10 KStG befreit eingehende Beteiligungserträge. § 12 Abs. 1 Z 10 KStG verhindert, dass ausgehende Zahlungen an niedrigbesteuerte Konzerngesellschaften abgezogen werden. Beide können denselben Konzern treffen: Die Mutter empfängt steuerfreie Dividenden (§ 10) und leistet Zahlungen an eine Schwester im Niedrigsteuerland (§ 12 Abs. 1 Z 10).",§ 10 Abs. 1 KStG 1988; § 12 Abs. 1 Z 10 KStG 1988
CORP-TAX-014,Welche Voraussetzungen müssen für eine internationale Schachtelbeteiligung erfüllt sein?,"Für eine internationale Schachtelbeteiligung müssen folgende Voraussetzungen erfüllt sein:

1.  Die Beteiligung muss mindestens 10% der Stimmrechtskapital betragen.
2.  Die Beteiligung muss mindestens 5 Jahre bestehen.
3.  Die Beteiligung muss nicht nur eine Geschäftsbeziehung, sondern auch eine wirtschaftliche Verbindung zwischen den Beteiligten darstellen.
4.  Die Beteiligung muss nicht nur eine Geschäftsbeziehung, sondern auch eine wirtschaftliche Verbindung zwischen den Beteiligten darstellen.

Es ist wichtig zu beachten, dass diese Vora","Der Steuerpflichtige muss unter § 7 Abs. 3 KStG fallen oder eine sonstige unbeschränkt steuerpflichtige ausländische Körperschaft sein, die mit einem inländischen unter §7 Abs. 3KStG fallenden Steuerpflichtigen vergleichbar sein und mindestens 1 Jahr ununterbrochen zu mindestens 10 % an einer ausländischen Kapitalgesellschaft beteiligt sein (§ 10 Abs. 2 KStG).",§ 10 Abs. 2 KStG 1988
CORP-TAX-015,Wie werden Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt?,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden grundsätzlich nach § 32 EStG behandelt. Das bedeutet, dass die Beteiligung als Betriebsvermögen behandelt wird, wenn sie nicht mehr als 10% der Beteiligung an einem Unternehmen in einem anderen Staat oder an einem Unternehmen mit Sitz in einem anderen Staat oder in einem anderen Staat ansässigen Unternehmen, das nicht mehr als 10% der Beteiligung an einem anderen Unternehmen in einem anderen Staat oder an einem Unternehmen mit Sitz in einem anderen Staat oder in einem anderen Staat ansässigen Unternehmen, hält.

Wenn die B","Sie bleiben bei der Einkommensermittlung außer Ansatz (steuerneutral), es sei denn, der Steuerpflichtige hat die Option zur Steuerwirksamkeit erklärt (§ 10 Abs. 3 KStG).",§ 10 Abs. 3 KStG 1988
CORP-TAX-016,Sind Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe abzugsfähig?,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgaben abzugsfähig.","Grundsätzlich ja (§ 11 Abs. 1 Z 4 KStG) wenn die Beteiligung im Betriebsvermögen gehalten wird – auch wenn die Erträge nach § 10 KStG steuerfrei sind. Ausnahme: Wurde die Beteiligung von einem konzernzugehörigen Unternehmen erworben, greift das Abzugsverbot des § 12 Abs. 1 Z 9 KStG und die Fremdfinanzierungszinsen dürfen nicht als Betriebsausgabe abgezogen werden.",§ 11 Abs. 1 Z 4 KStG 1988; § 12 Abs. 1 Z 9 KStG 1988
CORP-TAX-017,Was ist der Unterschied zwischen § 11 KStG und § 12 KStG in Bezug auf den Betriebsausgabenabzug?,"Ich bin nicht sicher, welche genauen Regelungen in den § 11 und § 12 KStG enthalten sind. Wenn du mehr über Betriebsausgabenabzug wissen möchtest, kann ich dir allgemein sagen, dass der Betriebsausgabenabzug nach § 4 Abs. 3 EStG (nicht KStG) erfolgt.","§ 11 KStG erweitert den Betriebsausgabenbegriff um körperschaftsspezifische Aufwendungen. § 12 KStG schränkt ihn ein und nennt Aufwendungen, die trotz betrieblicher Veranlassung nicht abzugsfähig sind.",§ 11 KStG 1988; § 12 KStG 1988
CORP-TAX-018,Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig?,"Ja, freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich abzugsfähig.","Nein, grundsätzlich nicht (§ 12 Abs. 1 Z 5 KStG). Eine Ausnahme stellen Spenden an begünstigte Empfänger nach § 4a EStG oder Ausgaben nach § 8 Abs. 4 Z 1 KStG dar.",§ 12 Abs. 1 Z 5 KStG 1988
CORP-TAX-019,"Welche Aufwendungen sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig: (a) EU-Geldbuße, (b) Spende an begünstigten Empfänger, (c) Aufsichtsratsvergütung, (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung?","(a) EU-Geldbuße: Nicht abzugsfähig, da sie keine Geschäftsgrundlage darstellt.

(b) Spende an begünstigten Empfänger: Teilweise abzugsfähig, wenn die Spende nicht über 50% des Umsatzes oder Einkommens der GmbH hinausgeht.

(c) Aufsichtsratsvergütung: Nicht abzugsfähig, da sie als Einkommen des Aufsichtsratsmitglieds zu versteuern ist.

(d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung: Teilweise abzugs","(a) Nicht abzugsfähig (§ 12 Abs. 1 Z 4 KStG). (b) Abzugsfähig nach § 4a EStG – Ausnahme in § 12 Abs. 1 Z 5 KStG greift. (c) Nur zur Hälfte abzugsfähig (§ 12 Abs. 1 Z 7 KStG). (d) Nicht abzugsfähig, da konzernzugehöriger Empfänger und Steuerbelastung < 15 % (§ 12 Abs. 1 Z 10 KStG).","§ 12 Abs. 1 Z 4, Z 5, Z 7 und Z 10 KStG 1988"
CORP-TAX-020,Wann sind Lizenzgebühren an eine konzernzugehörige Gesellschaft nicht abzugsfähig?,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht aufgrund eines Rechtsverhältnisses, sondern aufgrund eines Verhältnisses als Mutter- und Tochtergesellschaften erworben werden.",Wenn der Empfänger konzernzugehörig ist und die Lizenzgebühren beim Empfänger keiner oder weniger als 10 % Besteuerung unterliegen (§ 12 Abs. 1 Z 10 KStG).,§ 12 Abs. 1 Z 10 KStG 1988
CORP-TAX-021,Nach welcher Methode ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln?,Der Gewinn ist bei rechnungslegungspflichtigen Körperschaften nach der Einnahmen-Ausgaben-Rechnung (EÜR) zu ermitteln.,Nach § 5 Abs. 1 EStG 1988 (Betriebsvermögensvergleich). § 6 Z 2 lit. c und d EStG ist dabei nicht anzuwenden (§ 7 Abs. 3 KStG).,§ 7 Abs. 3 KStG 1988
CORP-TAX-022,"Welche Aspekte der §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte?","Wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte, sind folgende Aspekte der §§ 7–12 KStG zu prüfen:

1. **Konzernfremdheit**: Da die Übernahme von 60 % durch einen konzernfremden Dritten erfolgt, ist die Frage zu klären, ob die GmbH und die andere GmbH in einem Konzernverbund stehen. Wenn nicht, kann eine Gruppenbildung möglich sein.
2. **Gruppenbildung**: Die Gruppenbildung ist nur möglich, wenn die GmbH und die andere GmbH in einem Konzernverbund stehen. Wenn nicht, kann eine","§ 7 Abs. 3 KStG: Einkommensermittlung beider Körperschaften als Gewerbebetrieb (Gewerblichkeitsfiktion). § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (mittelbare oder unmittelbare Beteiligung > 50 %; unbeschränkt steuerpflichtige Kapitalgesellschaften oder vergleichbare nicht unbeschränkt steuerpflichtige Kapitalgesellschaften, die in einem Mitgliedstaat der Europäischen Union ode in einem Staat, mit dem umfassende Amtshilfe besteht, ansässig sind und ausschließlich mit unbeschränkt steuerpflichtigen Gruppenmitgliedern oder mit dem Gruppenträger finanziell verbunden sind; die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds vorliegen). § 9 Abs. 6 Z 4 KStG: Vorgruppenverluste nur gegen eigenen Gewinn. § 11 Abs. 1 Z 4 KStG: Zinsen abzugsfähig (konzernfremder Verkäufer → kein § 12 Abs. 1 Z 9). § 9 Abs. 7 KStG: Nach Beitritt keine Teilwertabschreibungen mehr.","§ 7 Abs. 3; § 9 Abs. 2–5, Abs. 6 Z 4, Abs. 7; § 11 Abs. 1 Z 4; § 12 Abs. 1 Z 9 KStG 1988"
CORP-TAX-023,"Welche steuerlichen Schritte sind zu beachten, wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt?","Bei einer GmbH, die nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt, sind folgende steuerliche Schritte zu beachten:

1. **Verlustvortrag**: Der Verlustvortrag aus dem Verlustjahr wird auf die Gewinnjahre aufgeteilt und kann bis zu 5 Jahre vorgezogen werden. Der Verlustvortrag wird also nicht vollständig auf das erste Gewinnjahr angerechnet, sondern auf die ersten 5 Jahre aufgeteilt.

2. **Verlustabzug**: Der Verlustabzug ist die Höchstgrenze, bis zu der ein Verlustvortrag abgezogen","Der Verlust ist als Sonderausgabe nach § 8 Abs. 4 Z 2 KStG abzugsfähig. Dieser sogenannte Verlustabzug steht im Ausmaß von 75 % des Gesamtbetrags der Einkünfte zu. Wenn im laufenden Jahr keine Gewinne erwirtschaftet werden und der Verlustabzug nich geltend gemacht werden kann, ist eine Weiterverrechnung im nächsten Jahr möglich. Einkommensermittlung nach § 7 Abs. 2/3 KStG. Zu prüfen: Mantelkauf (§ 8 Abs. 4 Z 2 lit. c) oder Gruppenbeziehung (§ 9 Abs. 6 Z 4 – Vorgruppenverluste) schränken die Verrechenbarkeit ein.",§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988; § 9 Abs. 6 Z 4 KStG 1988
CORP-TAX-024,Was ist der Gewinnermittlungszeitraum und kann davon abgewichen werden?,"Der Gewinnermittlungszeitraum ist in Österreich der Kalenderjahr. 

Ja, der Gewinnermittlungszeitraum kann abgewichen werden. Wenn ein Steuerpflichtiger eine Gewinnermittlung für ein Kalenderjahr erstellt, kann er für das nächste Kalenderjahr eine andere Gewinnermittlung erstellen, wenn er dies innerhalb von 6 Monaten nach Ablauf des Kalenderjahres erklärt.","Das Wirtschaftsjahr, das sich grundsätzlich mit dem Kalenderjahr deckt (§ 7 Abs. 4 KStG). Rechnungslegungspflichtige Körperschaften und buchführende Land- und Forstwirte dürfen ein abweichendes Wirtschaftsjahr führen (§ 7 Abs. 5 KStG).",§ 7 Abs. 4–5 KStG 1988
CORP-TAX-025,Wie werden Einlagen und Beiträge von Gesellschaftern bei der Einkommensermittlung behandelt?,Einlagen und Beiträge von Gesellschaftern werden bei der Einkommensermittlung nicht berücksichtigt. Sie werden nicht als Einkommen geführt.,"Sie bleiben außer Ansatz, soweit sie von Personen in ihrer Eigenschaft als Gesellschafter oder Mitglieder geleistet werden (§ 8 Abs. 1 KStG).",§ 8 Abs. 1 KStG 1988
CORP-TAX-026,Unter welchen Voraussetzungen ist der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG nicht auf 75 % begrenzt?,"Ich bin mir nicht sicher, ob es eine genaue Antwort gibt.","Die 75 %-Grenze gilt nicht, wenn im Gesamtbetrag der Einkünfte Gewinne aus Sanierungen (§ 23a),in der Veranlagungszeit anfallen, die von einem Insolvenzverfahren betroffen sind, Veräußerungsgewinne von Betrieben oder Teilbetrieben, Liquidationsgewinne (§ 19) oder Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG enthalten sind.",§ 8 Abs. 4 Z 2 lit. b KStG 1988
CORP-TAX-027,Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?,Die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG beträgt 25 %.,"Unmittelbar mehr als 50 % des Grund-, Stamm- oder Genossenschaftskapitals und der Stimmrechte (§ 9 Abs. 4 KStG).",§ 9 Abs. 4 KStG 1988
CORP-TAX-028,Wie lange muss die finanzielle Verbindung zu einem Gruppenmitglied bestehen?,"Ich bin nicht sicher, welche Voraussetzung genau du meinst. In Österreich gibt es jedoch die Voraussetzung, dass die finanzielle Verbindung zu einem Gruppenmitglied mindestens 30 Tage bestehen muss, um als Gruppenmitglied anerkannt zu werden.",Während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitgliedes (§ 9 Abs. 5 KStG).,§ 9 Abs. 5 KStG 1988
CORP-TAX-029,"Können Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, mit dem Gruppengewinn verrechnet werden?","Nein, das ist nicht möglich. Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe können nicht mit dem Gruppengewinn verrechnet werden.",Nein. Gemäß § 9 Abs. 6 Z 4a KStG sind solche Vorgruppenverluste des Gruppenträgers von der Verrechnung ausgeschlossen.,§ 9 Abs. 6 Z 4a KStG 1988
CORP-TAX-030,"Welche Konsequenz hat es, wenn eine österreichische Körperschaft in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte?","Wenn eine österreichische Körperschaft in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte, hat dies die Konsequenz, dass sie in beiden Ländern die Gruppenbesteuerung nicht durchführen kann.

Die Gruppenbesteuerung ist in Österreich nur für Körperschaften zulässig, die in Österreich beschränkt steuerpflichtig sind. Wenn eine Körperschaft in beiden Ländern unbeschränkt steuerpflichtig ist, kann sie die Gruppenbesteuerung nicht durchführen.","Sie kann nur Gruppenträger sein, wenn sie in Öserreich mit einer Zweigniederlassung im Firmenbuch eingetragen ist und die Beteiligung an den Gruppenmitgliedern der Zweigniederlassung zuzurechnen ist (§ 9 Abs. 3 KStG).",§ 9 Abs. 3 KStG 1988
CORP-TAX-031,Was sind Vorgruppenverluste und wie werden sie innerhalb der Gruppe behandelt?,"Vorgruppenverluste sind Verluste, die in einer Gruppe entstehen, bevor die Gruppe selbst einen Verlust erzielt hat. 

Innerhalb der Gruppe werden Vorgruppenverluste wie folgt behandelt: 
- Sie werden zunächst auf die Gewinne der Gruppe angerechnet, 
- Soweit sie die Gewinne der Gruppe nicht aufheben, 
- werden sie in die Verluste der Gruppe einbezogen.",Verluste eines Gruppenmitglieds aus Zeiträumen vor dem Gruppenbeitritt. Sie können nur gegen den eigenen Gewinn des jeweiligen Mitglieds verrechnet werden – nicht gegen den Gruppengewinn (§ 9 Abs. 6 Z 4 KStG).,§ 9 Abs. 6 Z 4 KStG 1988
CORP-TAX-032,"Welche Unterschiede bestehen bei der Verlustverrechnung zwischen einem inländischen und einem ausländischen Gruppenmitglied hinsichtlich Höhe, Grenze und Nachversteuerung?","Die Verlustverrechnung zwischen einem inländischen und einem ausländischen Gruppenmitglied unterliegt bestimmten Einschränkungen.

Inländisches Gruppenmitglied:
Die Höhe der Verlustverrechnung ist auf 10% der Bemessungsgrundlage der Gewinnverteilung beschränkt. Die Nachversteuerung ist möglich, wenn der Verlust im Ausland nicht verrechnet werden kann.

Ausländisches Gruppenmitglied:
Die Höhe der Verlustverrechnung ist auf 10% der Bemessungsgrundlage der Gewinnverteilung beschränkt. Die Nachversteuer","Inländisch (§ 9 Abs. 6 Z 1/2 KStG): Volles Ergebnis wird zugerechnet, ohne Betragsbegrenzung. Ausländisch (§ 9 Abs. 6 Z 6 KStG): Nur Verluste, nach österreichischem Recht, max. ausländischer Verlust, 75 %-Grenze auf österreichisches Gruppeneinkommen. Nachversteuerung nur bei ausländischen Mitgliedern bei Gewinn oder Ausscheiden (§ 9 Abs. 6 Z 7 KStG).","§ 9 Abs. 6 Z 1–2, Z 6–7 KStG 1988"
CORP-TAX-033,Gilt die Einjahresfrist bei internationalen Schachtelbeteiligungen auch für Anteile aus Kapitalerhöhungen?,Die Einjahresfrist gilt nicht für Anteile aus Kapitalerhöhungen.,"Nein. Die Frist gilt nicht für Anteile, die durch eine Kapitalerhöhung erworben wurden, soweit sich das Beteiligungsausmaß dadurch nicht erhöht hat (§ 10 Abs. 2 letzter Satz KStG).",§ 10 Abs. 2 KStG 1988
CORP-TAX-034,"Welche Normen sind einschlägig, wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen?","Die einschlägigen Normen sind § 1 Abs. 3 EStG und § 10 Abs. 3 EStG.

Wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen, ist die Veräußerung der Schachtelbeteiligung mit den Vorjahresverlusten zu verbinden. 

Die Verluste können auf die Gewinne der Veräußerung der Schachtelbeteiligung angerechnet werden, wenn die Veräußerung der Schachtelbeteiligung innerhalb der Fünfjahresfrist nach der Ent","§ 10 Abs. 3 KStG: Veräußerungsgewinn ist steuerneutral (sofern keine Steuerwirksamkeitsoption). Da er außer Ansatz bleibt, erhöht er den Gesamtbetrag der Einkünfte nicht. § 8 Abs. 4 Z 2 KStG: Verlustvorträge können nur gegen steuerpflichtige Einkünfte verrechnet werden – der steuerfreie Veräußerungsgewinn zählt nicht. Verluste können dadurch ungenutzt bleiben.",§ 10 Abs. 3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988
CORP-TAX-035,Hat eine Beteiligung von 8 % an einer deutschen GmbH Anspruch auf die internationale Schachtelbegünstigung? Ist die Dividende trotzdem steuerfrei?,"Die internationale Schachtelbegünstigung (ISB) ist eine Sonderregelung, die bestimmte Einkünfte aus Beteiligungen an ausländischen Gesellschaften begünstigt. 

Eine Beteiligung von 8 % an einer deutschen GmbH ist jedoch keine Beteiligung an einer ausländischen Gesellschaft. Die ISB gilt nur für Beteiligungen an Gesellschaften in Staaten, die nicht Mitglied der Europäischen Union sind. 

Die Dividende ist daher nicht steuerfrei.","Nein – die Mindestquote von 10 % für die internationale Schachtelbeteiligung (§ 10 Abs. 2 KStG) ist nicht erfüllt. Die Dividende ist dennoch steuerfrei, da Deutschland ein EU-Mitgliedstaat ist und § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) greift.",§ 10 Abs. 1 Z 5 KStG 1988; § 10 Abs. 2 KStG 1988
